vertex_index,object_id,vertex_label,object_label,distance_m,decision
2892,5692549928996306949,0,11,0.00915084,remove
2904,5692549928996306949,0,11,0.0112342,remove
2906,5692549928996306949,0,11,0.0100596,remove
2922,5692549928996306949,0,11,0.015456,remove
2928,5692549928996306949,0,11,0.00932405,remove
2931,5692549928996306949,0,11,0.0274329,remove
2935,5692549928996306949,0,11,0.0128951,remove
2961,5692549928996306949,0,11,0.0208424,remove
2962,5692549928996306949,0,11,0.0169945,remove
2982,5692549928996306949,0,11,0.00906725,remove
3003,5692549928996306949,0,11,0.0146723,remove
3020,5692549928996306949,0,11,0.0143843,remove
3047,5692549928996306949,0,11,0.0103209,remove
3071,5692549928996306949,0,11,0.00954787,remove
3098,5692549928996306949,0,11,0.0291905,remove
3121,5692549928996306949,0,11,0.0145939,remove
3123,5692549928996306949,0,11,0.0107597,remove
6003,5692549928996306949,0,11,0.00941807,remove
6067,5692549928996306949,0,11,0.00619024,remove
6076,5692549928996306949,0,11,0.00927441,remove
6083,5692549928996306949,0,11,0.00753627,remove
6120,5692549928996306949,0,11,0.0101743,remove
6127,5692549928996306949,0,11,0.0107464,remove
6129,5692549928996306949,0,11,0.00411753,remove
6136,5692549928996306949,0,11,0.0220015,remove
6147,5692549928996306949,0,11,0.0223456,remove
6155,5692549928996306949,0,11,0.0281977,remove
6159,5692549928996306949,0,11,0.0227019,remove
6160,5692549928996306949,0,11,0.00778716,remove
6161,5692549928996306949,0,11,0.0173856,remove
6163,5692549928996306949,0,11,0.016476,remove
6205,5692549928996306949,0,11,0.0119715,remove
6211,5692549928996306949,0,11,0.0139108,remove
6220,5692549928996306949,0,11,0.0192871,remove
6226,5692549928996306949,0,11,0.0240473,remove
6229,5692549928996306949,0,11,0.0166256,remove
6264,5692549928996306949,0,11,0.00467334,remove
6265,5692549928996306949,0,11,0.0146435,remove
6284,5692549928996306949,0,11,0.00998643,remove
6314,5692549928996306949,0,11,0.00895736,remove
6318,5692549928996306949,0,11,0.00600648,remove
6331,5692549928996306949,0,11,0.00446249,remove
6372,5692549928996306949,0,11,0.0133546,remove
6384,5692549928996306949,0,11,0.0112577,remove
6387,5692549928996306949,0,11,0.0157951,remove
6390,5692549928996306949,0,11,0.0177681,remove
6392,5692549928996306949,0,11,0.0107831,remove
6444,5692549928996306949,0,11,0.00384743,remove
6445,5692549928996306949,0,11,0.00547566,remove
6467,5692549928996306949,0,11,0.0161943,remove
6480,5692549928996306949,0,11,0.0117253,remove
6564,5692549928996306949,0,11,0.0059954,remove
6567,5692549928996306949,0,11,0.0175216,remove
6568,5692549928996306949,0,11,0.00977453,remove
6575,5692549928996306949,0,11,0.0157522,remove
6578,5692549928996306949,0,11,0.0151674,remove
6579,5692549928996306949,0,11,0.0223837,remove
6614,5692549928996306949,0,11,0.00582341,remove
6621,5692549928996306949,0,11,0.0166107,remove
6679,5692549928996306949,0,11,0.0203956,remove
6680,5692549928996306949,0,11,0.0247803,remove
6681,5692549928996306949,0,11,0.0254933,remove
6684,5692549928996306949,0,11,0.0058472,remove
6685,5692549928996306949,0,11,0.0127112,remove
6703,5692549928996306949,0,11,0.0170027,remove
6709,5692549928996306949,0,11,0.0176783,remove
6730,5692549928996306949,0,11,0.00266208,remove
6731,5692549928996306949,0,11,0.00738319,remove
6734,5692549928996306949,0,11,0.0160624,remove
6738,5692549928996306949,0,11,0.0212877,remove
6744,5692549928996306949,0,11,0.0165948,remove
6777,5692549928996306949,0,11,0.0247852,remove
6780,5692549928996306949,0,11,0.010606,remove
6781,5692549928996306949,0,11,0.0187817,remove
6783,5692549928996306949,0,11,0.0143256,remove
6785,5692549928996306949,0,11,0.0212519,remove
6790,5692549928996306949,0,11,0.0131336,remove
6833,5692549928996306949,0,11,0.0231316,remove
6837,5692549928996306949,0,11,0.0268728,remove
6838,5692549928996306949,0,11,0.00972669,remove
6839,5692549928996306949,0,11,0.0120659,remove
6843,5692549928996306949,0,11,0.021238,remove
6855,5692549928996306949,0,11,0.0130828,remove
6858,5692549928996306949,0,11,0.0190319,remove
6902,5692549928996306949,0,11,0.0104266,remove
6903,5692549928996306949,0,11,0.0225778,remove
6905,5692549928996306949,0,11,0.00978278,remove
6909,5692549928996306949,0,11,0.0222247,remove
6910,5692549928996306949,0,11,0.0231317,remove
6921,5692549928996306949,0,11,0.0170125,remove
6925,5692549928996306949,0,11,0.0110912,remove
6939,5692549928996306949,0,11,0.0187778,remove
6965,5692549928996306949,0,11,0.00702585,remove
6966,5692549928996306949,0,11,0.00582334,remove
7025,5692549928996306949,0,11,0.0159302,remove
7027,5692549928996306949,0,11,0.0145361,remove
7028,5692549928996306949,0,11,0.00176904,remove
